AVERAGE,CLEANLINESS,COMMUNICATION,CHECKIN,ACCURACY,LOCATION,VALUE,RATINGS_ID
2.9,2.1,2.5,4.0,2.6,2.5,4.2,1
2.7,1.7,4.5,2.6,1.7,4.2,1.8,2
3.2,4.0,3.3,4.6,2.7,1.4,3.4,3
2.5,1.0,1.6,4.9,5.0,1.6,1.1,4
3.2,2.2,5.0,3.4,3.3,3.0,2.9,5
3.1,1.4,4.7,2.4,3.1,2.6,4.7,6
2.9,1.7,4.2,4.8,1.2,2.5,3.3,7
3.5,2.7,4.6,4.3,4.6,1.8,3.3,8
2.7,1.7,4.5,3.1,2.9,2.0,2.5,9
2.8,1.3,4.2,3.9,2.6,3.6,1.2,10
2.7,2.7,4.0,4.8,2.3,1.5,1.3,11
3.7,4.5,4.7,2.7,4.4,3.1,3.0,12
2.5,2.7,1.9,1.5,2.9,4.3,1.8,13
2.9,3.4,2.8,2.1,4.3,2.5,2.9,14
2.7,2.9,4.6,2.6,2.9,1.0,2.3,15
3.2,4.6,3.8,3.1,2.8,4.2,1.1,16
3.3,3.1,4.9,1.8,2.9,4.4,3.1,17
3.0,4.7,2.5,3.1,1.1,3.5,3.3,18
3.9,3.4,4.2,4.9,3.9,4.3,2.9,19
2.2,3.0,1.6,1.9,2.1,2.5,2.3,20
2.2,2.6,1.6,1.5,3.8,2.6,1.5,21
2.4,1.6,2.3,3.3,1.2,4.7,1.9,22
2.7,3.4,1.1,2.1,1.6,4.3,3.9,23
2.5,3.6,3.9,1.1,2.1,1.6,3.2,24
3.3,2.8,3.0,2.7,4.7,4.3,2.8,25
3.0,3.7,2.2,2.7,4.0,1.0,4.6,26
2.8,4.3,4.8,3.2,1.9,1.5,1.6,27
3.0,2.9,2.2,4.4,2.1,4.7,2.0,28
2.2,1.1,4.1,4.1,2.0,1.0,1.0,29
2.6,2.5,4.2,1.0,3.8,1.5,2.7,30
2.6,1.2,3.2,1.9,2.8,4.3,2.4,31
2.9,1.7,1.6,3.5,4.9,3.6,2.4,32
2.8,2.3,2.4,3.0,2.9,2.9,3.7,33
3.7,4.1,4.4,2.0,3.7,4.5,3.9,34
3.0,4.2,2.3,4.5,3.0,2.9,1.4,35
3.0,3.3,2.6,3.9,3.2,1.6,3.6,36
3.1,2.3,4.8,2.4,3.2,2.9,3.3,37
3.0,2.4,2.5,3.7,3.2,2.9,3.7,38
2.2,1.0,2.9,2.3,1.4,1.9,4.1,39
3.8,4.4,3.8,5.0,1.9,4.4,3.6,40
2.4,1.8,1.0,1.6,2.2,4.3,3.8,41
2.8,1.4,1.7,5.0,4.0,4.0,1.1,42
4.1,4.7,3.6,2.2,4.9,5.0,4.7,43
2.2,3.4,1.7,1.1,1.3,2.8,3.2,44
3.7,3.9,3.2,2.2,4.2,5.0,3.7,45
3.5,3.5,2.7,3.8,4.0,4.8,2.7,46
3.3,1.2,4.0,3.5,4.0,3.2,4.2,47
2.3,1.7,1.5,4.1,1.4,4.1,1.2,48
3.0,3.9,2.1,1.4,4.5,1.6,4.9,49
2.8,1.4,3.6,3.6,2.4,2.8,3.2,50
3.3,4.3,1.9,4.2,4.1,2.4,3.1,51
3.0,1.6,3.7,1.7,2.9,4.1,4.2,52
3.1,4.4,1.4,1.7,3.5,3.1,4.9,53
2.9,1.7,4.0,3.3,2.5,3.1,2.8,54
3.2,3.2,4.9,3.0,1.0,4.3,2.8,55
3.0,4.0,1.8,4.9,1.4,3.9,2.1,56
3.8,4.0,4.1,3.3,4.5,4.0,3.3,57
2.6,2.5,2.3,1.7,4.6,3.7,1.1,58
3.1,1.8,2.2,4.6,4.8,1.0,4.6,59
2.7,2.2,2.4,3.8,1.8,4.7,1.5,60
2.5,1.2,1.4,2.2,2.9,4.5,3.2,61
2.7,3.8,3.4,1.1,3.0,2.5,3.0,62
3.5,2.2,3.3,2.1,4.9,3.9,4.7,63
3.1,4.3,2.6,2.1,4.6,2.5,2.5,64
2.7,1.3,4.2,2.3,2.1,3.1,3.6,65
2.9,1.8,5.0,1.2,3.0,3.1,3.5,66
3.2,4.2,2.9,4.4,2.4,3.0,2.8,67
2.4,3.8,1.6,4.2,1.3,1.9,1.8,68
3.1,3.3,3.9,3.4,3.0,2.3,3.1,69
3.1,1.7,4.6,4.7,1.8,1.7,4.6,70
2.3,1.8,1.9,2.4,2.6,3.7,1.8,71
2.5,2.4,2.5,3.9,2.1,1.8,2.5,72
2.4,3.7,1.6,4.7,1.1,1.2,2.4,73
4.0,4.6,4.5,4.0,3.4,4.0,3.9,74
3.3,2.5,2.5,1.3,4.4,4.9,4.2,75
2.7,4.2,1.2,1.4,1.2,4.0,4.6,76
3.0,4.8,4.0,1.6,1.5,4.6,1.6,77
2.9,2.0,3.0,4.9,4.6,1.6,1.5,78
2.8,3.8,1.1,3.9,1.2,2.1,4.7,79
3.1,1.5,4.8,1.9,4.4,4.9,1.5,80
3.1,1.4,4.5,1.1,4.9,4.8,2.3,81
3.4,4.8,1.9,4.4,3.1,2.4,4.0,82
2.4,1.0,2.9,3.2,1.4,4.8,1.1,83
3.2,3.2,4.9,4.1,1.6,3.8,2.1,84
3.5,4.8,2.3,2.3,5.0,2.4,4.3,85
2.7,4.1,3.8,1.2,4.3,1.5,1.5,86
2.2,3.0,2.0,3.2,1.4,1.0,2.8,87
3.9,2.6,3.8,3.3,4.7,4.9,4.3,88
3.2,3.3,4.4,1.7,1.4,4.3,4.4,89
2.3,2.5,3.2,1.4,1.0,3.7,2.5,90
2.9,3.9,1.6,3.5,3.5,1.1,4.3,91
3.1,4.7,3.8,4.9,1.4,3.1,1.1,92
2.8,3.8,3.6,2.7,1.9,3.5,1.3,93
3.1,1.4,5.0,2.5,1.5,3.8,4.8,94
2.9,3.1,2.9,1.8,3.5,3.1,3.4,95
3.3,3.3,4.2,3.7,4.9,1.7,2.2,96
3.5,3.4,3.1,4.8,1.0,4.4,4.8,97
2.7,2.0,2.7,3.9,4.0,2.9,1.0,98
2.1,1.3,1.6,1.6,4.3,1.2,2.7,99
1.9,3.0,1.3,1.0,1.5,2.6,2.0,100
